Comunidad;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008
01 Andalucía;9,915;9,990;9,160;9,258;9,116;8,398;7,942;8,079;8,408;8,845;8,764;9,293;9,406;9,007
02 Aragón;13,345;13,097;12,300;11,990;12,110;11,649;12,427;12,037;12,022;11,904;11,657;11,968;12,411;11,485
03 Asturias, Principado de;12,861;12,786;12,523;12,085;12,244;12,060;11,427;11,251;11,211;11,767;11,779;12,589;12,630;11,880
04 Balears, Illes;11,235;12,658;12,410;13,240;12,665;12,222;10,828;10,660;10,386;11,005;11,126;11,485;11,821;11,229
05 Canarias;10,161;9,935;9,487;8,964;8,863;8,702;8,640;8,302;8,513;8,423;8,610;9,202;8,932;8,902
06 Cantabria;12,848;12,748;12,205;11,239;11,293;10,670;10,494;9,824;9,843;10,388;10,495;11,083;12,184;11,232
07 Castilla y León;12,656;12,697;12,003;11,949;11,239;10,815;10,570;10,406;10,760;10,855;10,841;10,946;11,147;10,488
08 Castilla - La Mancha;10,257;10,485;9,715;9,533;9,045;8,731;8,498;8,545;8,425;8,878;9,105;9,892;9,631;9,064
09 Cataluña;14,159;14,170;13,527;13,338;12,712;12,660;12,283;12,205;12,111;12,199;12,209;12,890;12,733;12,436
10 Comunitat Valenciana;11,237;11,332;10,611;10,232;9,801;9,265;9,098;9,144;9,375;9,965;10,236;10,555;10,502;9,864
11 Extremadura;9,500;9,147;8,796;8,503;8,250;8,674;8,469;7,729;8,224;8,238;8,725;8,897;9,028;8,107
12 Galicia;11,453;11,469;11,218;11,239;10,753;10,439;10,212;10,235;10,106;10,266;10,370;10,504;10,026;9,482
13 Madrid, Comunidad de;14,836;14,580;14,199;13,279;13,099;12,647;12,534;12,597;12,823;13,155;13,192;13,436;13,564;12,496
14 Murcia, Región de;9,931;9,850;8,956;9,111;8,702;8,273;7,924;7,767;8,253;8,474;8,437;8,818;9,150;9,119
15 Navarra, Comunidad Foral de;15,269;15,094;13,937;13,585;13,583;13,408;13,300;13,221;13,608;14,041;14,301;14,276;14,175;13,123
16 País Vasco;15,544;15,813;15,300;14,722;14,397;14,345;13,836;14,281;14,312;13,857;14,046;14,468;14,838;14,038
17 Rioja, La;12,913;13,504;12,697;12,029;12,131;11,589;11,132;11,120;10,686;11,270;10,712;10,756;11,387;10,916
18 Ceuta;10,397;9,853;10,164;9,784;9,676;9,435;8,512;8,712;9,336;9,990;10,030;9,616;8,702;8,047
19 Melilla;12,012;11,427;11,733;12,507;10,161;10,883;10,027;11,619;11,313;11,761;11,981;11,459;11,048;11,065
