sexo,turno,grupo,trabaja,notaA,notaB,notaC,notaD,notaE
Mujer,Tarde,C,N,5.2,6.3,3.4,2.3,2
Hombre,Mañana,A,N,5.7,5.7,4.2,3.5,2.7
Hombre,Mañana,B,N,8.3,8.8,8.8,8,5.5
Hombre,Mañana,B,N,6.1,6.8,4,3.5,2.2
Hombre,Mañana,A,N,6.2,9,5,4.4,3.7
Hombre,Mañana,A,S,8.6,8.9,9.5,8.4,3.9
Mujer,Mañana,A,N,6.7,7.9,5.6,4.8,4.2
Mujer,Tarde,C,S,4.1,5.2,1.7,0.3,1
Hombre,Tarde,C,N,5,5,3.3,2.7,6
Hombre,Tarde,C,N,5.3,6.3,4.8,3.6,2.3
Mujer,Mañana,A,N,7.8,NA,6.5,6.7,2.8
Hombre,Mañana,A,N,6.5,8,5,3.2,3.3
Hombre,Mañana,B,N,6.6,7.6,5.3,4,1
Hombre,Mañana,B,N,6.2,6.7,5.3,4.7,4.7
Hombre,Mañana,B,N,5.2,4.1,5.8,5,1.9
Hombre,Mañana,B,S,8.7,NA,7.6,6.3,9.3
Mujer,Mañana,B,N,6.7,6.3,6.8,5.3,2.8
Mujer,Tarde,C,N,3.1,4.8,2.7,1.8,1
Hombre,Mañana,B,N,7.1,10,5.9,4.9,2.5
Hombre,Mañana,B,S,5.3,4.8,2.8,0.9,4.2
Hombre,Mañana,A,N,4.4,6.1,2.9,1.9,2.4
Mujer,Tarde,C,S,5.7,6.4,4.2,3.3,1
Mujer,Tarde,C,S,4.5,3.9,3.5,2.6,2.2
Mujer,Tarde,C,N,4.9,4.4,5.2,3.7,0.4
Hombre,Tarde,C,N,5.1,4.5,6.4,5.6,0.5
Hombre,Mañana,B,N,3.5,3.9,4,3.7,1.7
Mujer,Mañana,A,N,7.3,6.8,6.1,5.4,1.8
Hombre,Mañana,B,N,6.2,7.9,3.5,1.9,3.1
Mujer,Mañana,A,N,4.3,7.4,2.9,1.7,0.2
Hombre,Mañana,B,N,7.9,7.6,7,6.1,0.4
Hombre,Mañana,B,N,6.6,8.4,6.5,5.2,3.9
Hombre,Mañana,A,N,5.6,7.3,5.5,3.4,5
Mujer,Mañana,B,N,7.3,8.7,7,6.5,2.8
Mujer,Mañana,B,N,7.3,7.3,4.9,3.5,1
Hombre,Mañana,A,N,7.2,8.1,7.1,5.8,1.3
Hombre,Mañana,A,S,7,7.8,5.6,5.3,1.2
Hombre,Mañana,B,N,6.8,8.4,6,4.6,1
Mujer,Mañana,A,N,5.9,6.5,5,4.4,4.1
Hombre,Tarde,C,S,5.5,7.5,5,3.3,4.1
Mujer,Tarde,C,N,5.4,6.1,4.5,3.3,0.3
Mujer,Tarde,C,S,5,7,2.3,1.3,3.6
Mujer,Tarde,C,S,5.7,5.6,5.4,3.8,2.7
Hombre,Tarde,C,N,4.1,3.8,3.5,2.2,0.7
Mujer,Mañana,B,S,9.3,NA,8,7,0.7
Mujer,Mañana,B,N,7.8,8.4,6.9,6.3,2.2
Hombre,Tarde,C,N,4.3,5.6,3.4,1.6,6.2
Hombre,Tarde,C,N,5.4,7,4.6,3.4,2.9
Hombre,Mañana,A,N,5.3,5.8,5.9,5.3,4.3
Hombre,Mañana,B,N,7.2,8.7,6,4.7,1.5
Mujer,Tarde,C,S,5.9,7.2,5,4.2,1.6
