semilla,parcela,abono,cosecha
1,1,A,4.73
2,2,A,4.76
1,3,A,4.17
2,4,A,5.23
1,1,A,4.39
2,2,A,5.15
1,3,A,4.54
2,4,A,5.08
1,1,A,4.5
2,2,A,4.84
1,3,A,4.8
2,4,A,5.1
1,1,A,4.51
2,2,A,4.96
1,3,A,4.54
2,4,A,4.73
1,1,A,4.54
2,2,A,4.64
1,3,A,4.41
2,4,A,5.19
1,1,A,4.22
2,2,A,5.07
1,3,A,4.46
2,4,A,5.19
1,1,A,4.79
2,2,A,4.6
1,3,A,4.57
2,4,A,5.19
1,1,A,4.55
2,2,A,4.88
1,3,A,4.22
2,4,A,5.17
1,1,B,5.22
2,2,B,4.79
1,3,B,4.72
2,4,B,4.69
1,1,B,4.71
2,2,B,4.94
1,3,B,4.7
2,4,B,5.58
1,1,B,4.42
2,2,B,5.09
1,3,B,5.07
2,4,B,4.88
1,1,B,4.54
2,2,B,5.01
1,3,B,4.96
2,4,B,4.93
1,1,B,4.49
2,2,B,5.01
1,3,B,4.3
2,4,B,4.7
1,1,B,4.92
2,2,B,5.09
1,3,B,4.27
2,4,B,5.12
1,1,B,4.24
2,2,B,4.91
1,3,B,4.76
2,4,B,4.71
1,1,B,4.95
2,2,B,5.24
1,3,B,4.57
2,4,B,5.22
1,1,C,5.03
2,2,C,5.22
1,3,C,5.15
2,4,C,4.84
1,1,C,4.47
2,2,C,5.74
1,3,C,5.09
2,4,C,5.28
1,1,C,4.58
2,2,C,5.32
1,3,C,5.31
2,4,C,5.44
1,1,C,4.69
2,2,C,4.82
1,3,C,5.01
2,4,C,5.29
1,1,C,4.86
2,2,C,4.89
1,3,C,5
2,4,C,4.85
1,1,C,5.26
2,2,C,4.83
1,3,C,4.85
2,4,C,4.67
1,1,C,4.7
2,2,C,5.45
1,3,C,5.15
2,4,C,4.85
1,1,C,4.59
2,2,C,5.1
1,3,C,4.56
2,4,C,5.14
